Language,Family,ISO 639-3,Reference,Nucleus,Diphthongs,Relevant spelling conventions,Affixes,Allomorphs,Type,Syllables,Segments,,,,
,,,,,,,N-,1,P,0,1,,,,
,,,,,,,N-,1,P,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -nen,1,S,1,3,,,,
,,,,,,, -nes,1,S,1,3,,,,
,,,,,,, -nhaŋto,1,S,2,5,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -nin,1,S,1,3,,,,
,,,,,,,njiŋ-,1,P,1,4,,,,
,,,,,,,nniŋ-,1,P,1,4,,,,
,,,,,,, -ŋ(a),2,S,0.5,1.5,,,,
,,,,,,, -pa,1,S,1,2,,,,
,,,,,,, -paŋ,1,S,1,3,,,,
,,,,,,, -piʔ,1,S,1,3,,,,
,,,,,,, -raʔ,1,S,1,3,,,,
,,,,,,, -raʔ,1,S,1,3,,,,
,,,,,,, -ris,1,S,1,3,,,,
,,,,,,, -sa,1,S,1,2,,,,
,,,,,,, -saŋ,1,S,1,3,,,,
,,,,,,, -se,1,S,1,2,,,,
,,,,,,, -siʔ,1,S,1,3,,,,
,,,,,,, -siʔ,1,S,1,3,,,,
,,,,,,, -siʔ,1,S,1,3,,,,
,,,,,,, -soʔ,1,S,1,3,,,,
,,,,,,, -t,1,S,0,1,,,,
,,,,,,,u-,1,P,1,1,,,,
,,,,,,, -u,1,S,1,1,,,,
,,,,,,, -uks,1,S,1,3,,,,
,,,,,,," -uks, -nuŋ",2,S,1,3,,,,
,,,,,,," -uks, -nuŋ",2,S,1,3,,,,
,,,,,,," -uks, -uksa",2,S,1.5,3.5,,,,
,,,,,,, -ukt,1,S,1,3,,,,
,,,,,,,uŋci-,1,P,2,4,,,,
,,,,,,, -wa,1,S,1,2,,,,
Tagdal,Songhay,tda,Benítez-Torres (2021: xiv-xvi),"V (15) -- argument based on frequency, not structure",none mentioned,"tʃ, dʒ, ii, ee, aa, oo, uu = monosegmental",,,,,,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,," -an, -en, -wan, -tan",4,S,1,2.5,,,,
,,,,,,," -an, -nan",2,S,1,2.5,,,,
,,,,,,,b-,1,P,0,1,,,,
,,,,,,,ə-,1,P,1,1,,,,
,,,,,,,i-,1,P,1,1,,,,
,,,,,,, -kat,1,S,1,3,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -nan,1,S,1,3,,,,
,,,,,,,nə-,1,P,1,2,,,,
,,,,,,,nəm-,1,P,1,3,,,,
,,,,,,, -nén,1,S,1,3,,,,
,,,,,,, -nen,1,S,1,3,,,,
,,,,,,,"s-, ʃ-, z-, ʒ-",4,P,0,1,,,,
,,,,,,,sə-,1,P,1,2,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,,tə-,1,P,1,2,,,,
,,,,,,,təw-,1,P,1,3,,,,
,,,,,,, -yen,1,S,1,3,,,,
Tohono O'odham,Uto-Aztecan,ood,Zepeda (1983: 158-160),"no information provided; assumption for our classification is that nasals and other Cs are not possible nuclei, but this should be stated explicitly since there are several orthographically nasal-only prefixes","ai, ei, oi, ui",none,,,,,,,,,
,,,,,,, -ad,1,S,1,2,,,,
,,,,,,, -'i,1,S,1,2,,,,
,,,,,,, -iñ,1,S,1,2,,,,
,,,,,,, -kud,1,S,1,3,,,,
,,,,,,, -ga,1,S,1,2,,,,
,,,,,,, -mad,1,S,1,3,,,,
,,,,,,, -pig,1,S,1,3,,,,
,,,,,,,ñ-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, 'em-,1,P,1,3,,,,
,,,,,,,ha-,1,P,1,2,,,,
,,,,,,,ñ-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,, -ij,1,S,1,2,,,,
,,,,,,, -j,1,S,1,1,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, 'em-,1,P,1,3,,,,
,,,,,,,ha-,1,P,1,2,,,,
,,,,,,,ñ-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,,ha-,1,P,1,2,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, 'em-,1,P,1,3,,,,
,,,,,,,ha-,1,P,1,2,,,,
,,,,,,,ñ-,1,P,0,1,,,,
,,,,,,, 'e-,1,P,1,2,,,,
,,,,,,, 'e-,1,P,1,2,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, 'e-,1,P,1,2,,,,
,,,,,,, 'e-,1,P,1,2,,,,
Kalamang,West Bomberai,kgv,Visser (2022: 443-444),V (70),non-committal; /i/- and /u/-final VV sequences can surface as diphthongs,ng = monosegmental,,,,,,,,,
,,,,,,, -ahutak,1,S,3,6,,,,
,,,,,,, -an,1,S,1,2,,,,
,,,,,,, -bes,1,S,1,3,,,,
,,,,,,," -ca, -ja, -ya",3,S,1,2,,,,
,,,,,,," -ce, -je, -ye",3,S,1,2,,,,
,,,,,,, -et,1,S,1,2,,,,
,,,,,,, -(ng)gan,2,S,1,3.5,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -mahap,1,S,2,5,,,,
,,,,,,, -mun,1,S,1,3,,,,
,,,,,,, -mur,1,S,1,3,,,,
,,,,,,, -naninggan,1,S,3,8,,,,
,,,,,,, -ndi,1,S,1,3,,,,
,,,,,,," -pe, -we, -be",3,S,1,2,,,,
,,,,,,, -re,1,S,1,2,,,,
,,,,,,, -rip,1,S,1,3,,,,
,,,,,,, -sen,1,S,1,3,,,,
,,,,,,," -te, -de, -re",3,S,1,2,,,,
,,,,,,, -un,1,S,1,2,,,,
,,,,,,, -un,1,S,1,2,,,,
,,,,,,,al-,1,P,1,2,,,,
,,,,,,,ar-,1,P,1,2,,,,
,,,,,,,"ep-, ew-",2,P,1,2,,,,
,,,,,,,"et-, er-",2,P,1,2,,,,
,,,,,,,kis-,1,P,1,3,,,,
,,,,,,,mir-,1,P,1,3,,,,
,,,,,,,na(k)-,2,P,1,2.5,,,,
,,,,,,,nar-,1,P,1,3,,,,
,,,,,,,pel-,1,P,1,3,,,,
,,,,,,,"poup-, pouw-",2,P,1,4,,,,
,,,,,,,pur-,1,P,1,3,,,,
,,,,,,,rur-,1,P,1,3,,,,
,,,,,,,taba(k)-,2,P,2,4.5,,,,
,,,,,,,ta(k)-,2,P,1,2.5,,,,
,,,,,,,tang-,1,P,1,3,,,,
,,,,,,,"tep-, tew-",2,P,1,3,,,,
Totonac (Filomeno Mata),Totonacan,tlp,McFarland (2009: 240-244),V (24),none mentioned,"ts, tl, ii, uu, aa = monosegmental",,,,,,,,,
,,,,,,, 'ak-,1,P,1,3,,,,
,,,,,,, 'amaq-,1,P,2,5,,,,
,,,,,,, 'aq-,1,P,1,3,,,,
,,,,,,, 'aqa-,1,P,2,4,,,,
,,,,,,, 'aqa-,1,P,2,4,,,,
,,,,,,, 'aqłčaa-,1,P,2,6,,,,
,,,,,,, 'aqsti-,1,P,2,6,,,,
,,,,,,," -(VV)n, -n'i",3,S,0.7,2.3,,,,
,,,,,,," -a'a, -V'V",2,S,2,3,,,,
,,,,,,, -aa,1,S,1,1,,,,
,,,,,,,čaa-,1,P,1,2,,,,
,,,,,,,čaa-,1,P,1,2,,,,
,,,,,,,čaaspi-,1,P,2,5,,,,
,,,,,,, -ča'a,1,S,2,4,,,,
,,,,,,, -či,1,S,1,2,,,,
,,,,,,, -čita,1,S,2,4,,,,
,,,,,,," -ii, -VV",2,S,1,1,,,,
,,,,,,,k-,1,P,0,1,,,,
,,,,,,,k-,1,P,0,1,,,,
,,,,,,,ka-,1,P,1,2,,,,
,,,,,,,kaa-,1,P,1,2,,,,
,,,,,,,kaa-,1,P,1,2,,,,
,,,,,,, -kan,1,S,1,3,,,,
,,,,,,, -kan,1,S,1,3,,,,
,,,,,,,kii-,1,P,1,2,,,,
,,,,,,,kil-,1,P,1,3,,,,
,,,,,,,kił-,1,P,1,3,,,,
,,,,,,,kilmak-,1,P,2,6,,,,
,,,,,,,kiłpi-,1,P,2,5,,,,
,,,,,,,kił'ak-,1,P,2,6,,,,
,,,,,,,kin-,1,P,1,3,,,,
,,,,,,,kinka-,1,P,2,5,,,,
,,,,,,,kušmu-,1,P,2,5,,,,
,,,,,,, -kutun,1,S,2,5,,,,
,,,,,,,laa-,1,P,1,2,,,,
,,,,,,,laa-,1,P,1,2,,,,
,,,,,,,lak-,1,P,1,2,,,,
,,,,,,,lak-,1,P,1,2,,,,
,,,,,,,"lak-, laq-",2,P,1,3,,,,
,,,,,,,laka-,1,P,2,4,,,,
,,,,,,,"laka-, laqa-",2,P,2,4,,,,
,,,,,,,lakpi-,1,P,2,5,,,,
,,,,,,,laq-,1,P,1,3,,,,
,,,,,,,laqa-,1,P,2,4,,,,
,,,,,,,laqšti-,1,P,2,6,,,,
,,,,,,, -li,1,S,1,2,,,,
,,,,,,,lii-,1,P,1,2,,,,
,,,,,,,liičaa-,1,P,2,4,,,,
,,,,,,,liiqała-,1,P,3,6,,,,
,,,,,,, -maa,1,S,1,2,,,,
,,,,,,,maa-,1,P,1,2,,,,
,,,,,,,mak-,1,P,1,3,,,,
,,,,,,,"maka-, maqa-",2,P,2,4,,,,
,,,,,,,makapiš-,1,P,3,7,,,,
,,,,,,,maq-,1,P,1,3,,,,
,,,,,,,maq-,1,P,1,3,,,,
,,,,,,,maq-,1,P,1,3,,,,
,,,,,,,maq(a)-,2,P,1.5,3.5,,,,
,,,,,,,maqšpa-,1,P,2,6,,,,
,,,,,,,mi(n)-,2,P,1,2.5,,,,
,,,,,,, -mii,1,S,1,2,,,,
,,,,,,,muu(šti)-,2,P,1.5,3.5,,,,
,,,,,,, -n(i),2,S,0.5,1.5,,,,
,,,,,,,na-,1,P,1,2,,,,
,,,,,,,na-,1,P,1,2,,,,
,,,,,,," -na'a, -nV'V",2,S,2,4,,,,
,,,,,,, -nan,1,S,1,3,,,,
,,,,,,," -nan, -nVn",2,S,1,3,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -nii,1,S,1,2,,,,
,,,,,,, -nii(ta),2,S,1.5,3,,,,
,,,,,,, -paa,1,S,1,2,,,,
,,,,,,,paa-,1,P,1,2,,,,
,,,,,,,paa-,1,P,1,2,,,,
,,,,,,, -para,1,S,2,4,,,,
,,,,,,,peeq-,1,P,1,3,,,,
,,,,,,,peeqštu-,1,P,2,6,,,,
,,,,,,,peqee-,1,P,2,4,,,,
,,,,,,, -pi ,1,S,1,2,,,,
,,,,,,, -pii,1,S,1,2,,,,
,,,,,,,piš-,1,P,1,3,,,,
,,,,,,,piš-,1,P,1,3,,,,
,,,,,,,pooqał-,1,P,2,5,,,,
,,,,,,,puu-,1,P,1,2,,,,
,,,,,,,puu-,1,P,1,2,,,,
,,,,,,,puu-,1,P,1,2,,,,
,,,,,,,puu-,1,P,1,2,,,,
,,,,,,,puu'ak-,1,P,2,5,,,,
,,,,,,,puulak-,1,P,2,5,,,,
,,,,,,,qaapi-,1,P,2,4,,,,
,,,,,,,qaapiš-,1,P,2,5,,,,
,,,,,,,qal-,1,P,1,3,,,,
,,,,,,,qaltsan-,1,P,2,6,,,,
,,,,,,,qał-,1,P,1,3,,,,
,,,,,,,qan-,1,P,1,3,,,,
,,,,,,,qanqa-,1,P,2,5,,,,
,,,,,,, -qe'e,1,S,2,4,,,,
,,,,,,,qee-,1,P,1,2,,,,
,,,,,,,qee-,1,P,1,2,,,,
,,,,,,, -qo'o,1,S,2,4,,,,
,,,,,,, -qš,1,S,0,2,,,,
,,,,,,,š(a)-,2,P,0.5,1.5,,,,
,,,,,,,š-,1,P,0,1,,,,
,,,,,,,ša-,1,P,1,2,,,,
,,,,,,,ša-,1,P,1,2,,,,
,,,,,,,sih-,1,P,1,3,,,,
,,,,,,,stiipu-,1,P,2,5,,,,
,,,,,,,ta-,1,P,1,2,,,,
,,,,,,,ta-,1,P,1,2,,,,
,,,,,,,taa-,1,P,1,2,,,,
,,,,,,,taa-,1,P,1,2,,,,
,,,,,,,tamp(un)a-,2,P,2.5,6,,,,
,,,,,,,tan-,1,P,1,3,,,,
,,,,,,,"tan-, tank-, tanq-",3,P,1,3.3,,,,
,,,,,,,tančaaspi-,1,P,3,8,,,,
,,,,,,,tankił(a)-,2,P,2.5,6.5,,,,
,,,,,,,"tantu-, tuu-",2,P,1.5,3.5,,,,
,,,,,,, -ti,1,S,1,2,,,,
,,,,,,, -ti,1,S,1,2,,,,
,,,,,,, -ti,1,S,1,2,,,,
,,,,,,,ti-,1,P,1,2,,,,
,,,,,,,tii-,1,P,1,2,,,,
,,,,,,, -tiiła,1,S,2,4,,,,
,,,,,,, -titi,1,S,2,4,,,,
,,,,,,, -tiyu'u,1,S,3,6,,,,
,,,,,,, -tu,1,S,1,2,,,,
,,,,,,,tuu-,1,P,1,2,,,,
,,,,,,,tuu-,1,P,1,2,,,,
,,,,,,, -wa,1,S,1,2,,,,
Paraguayan Guaraní,Tupian,gug,Estigarribia (2020: 309-311),V (35),yes; many combinations; always include high vowel glide at beginning or end (29-30),"ch, mb, nd, ng, nt, rr (jh?, qu?) = monosegmental",,,,,,,,,
,,,,,,,n(d)(a/e/o)…(r)i,10,O,1.5,3,,,,
,,,,,,,n(d)e…va,2,O,2,4,,,,
,,,,,,,ja…ma,1,O,2,4,,,,
,,,,,,,"a-, (r)e-, o-",4,P,1,1.3,,,,
,,,,,,,"ja-, ña-, ro-, pe-",4,P,1,2,,,,
,,,,,,,e-,1,P,1,1,,,,
,,,,,,,ro-,1,P,1,2,,,,
,,,,,,,po-,1,P,1,2,,,,
,,,,,,,"che-, n(d)e-",3,P,1,2,,,,
,,,,,,,"i-, ij-, iñ-, hi-",4,P,1,1.8,,,,
,,,,,,,"ñan(d)e-, ore-, pen(d)e-",5,P,2,3.7,,,,
,,,,,,,mba'e-,1,P,2,4,,,,
,,,,,,,poro-,1,P,2,4,,,,
,,,,,,,m(b)o-,2,P,1,2,,,,
,,,,,,,"gue-, re-",2,P,1,2,,,,
,,,,,,,(gue)ro-,2,P,1.5,3,,,,
,,,,,,,jo-,1,P,1,2,,,,
,,,,,,,je-,1,P,1,2,,,,
,,,,,,,eko-,1,P,2,3,,,,
,,,,,,,em(b)i,2,P,2,3,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,,"t-, h-, r-",3,P,0,1,,,,
,,,,,,," -(e)te-, -(i)te",4,S,1.5,2.5,,,,
,,,,,,," -(e)terei-, -(i)terei",4,S,2.5,4.5,,,,
,,,,,,, -ha,1,S,1,2,,,,
,,,,,,, -ha,1,S,1,2,,,,
,,,,,,, -hára,1,S,2,4,,,,
,,,,,,, -harã,1,S,2,4,,,,
,,,,,,, -hare,1,S,2,4,,,,
,,,,,,, -je,1,S,1,2,,,,
,,,,,,, -ke,1,S,1,2,,,,
,,,,,,," -kue, -ngue",2,S,1,2,,,,
,,,,,,," -kue, -ngue",2,S,1,2,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -mante,1,S,2,4,,,,
,,,,,,, -mi ,1,S,1,2,,,,
,,,,,,, -mi ,1,S,1,2,,,,
,,,,,,, -mi,1,S,1,2,,,,
,,,,,,, -mo'ã,1,S,2,4,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,, -ne,1,S,1,2,,,,
,,,,,,, -nga'u,1,S,2,4,,,,
,,,,,,, -nte,1,S,1,2,,,,
,,,,,,," -pa, -mba",2,S,1,2,,,,
,,,,,,, -pavẽ,1,S,2,4,,,,
,,,,,,," -pota, -mbota",2,S,2,4,,,,
,,,,,,, -py,1,S,1,2,,,,
,,,,,,," -py(ra), -(mby)ra",4,S,1.5,3,,,,
,,,,,,," -pyrã, -mbyrã",2,S,2,4,,,,
,,,,,,," -pyre, -mbyre",2,S,2,4,,,,
,,,,,,, -rã,1,S,1,2,,,,
,,,,,,, -rasa,1,S,2,4,,,,
,,,,,,, -re,1,S,1,2,,,,
,,,,,,, -rei,1,S,1,2,,,,
,,,,,,, -se,1,S,1,2,,,,
,,,,,,, -ta,1,S,1,2,,,,
,,,,,,, -t(e)i,2,S,1,2,,,,
,,,,,,, -tee,1,S,1,1,,,,
,,,,,,," -ty, -ndy",2,S,1,1,,,,
,,,,,,, -uka,1,S,2,2,,,,
,,,,,,, -va,1,S,1,1,,,,
,,,,,,, -va,1,S,1,1,,,,
,,,,,,, -va(')erã,2,S,3,3,,,,
,,,,,,, -va(')ekue,2,S,3,3,,,,
,,,,,,, -ve,1,S,1,1,,,,
,,,,,,, -vete,1,S,2,2,,,,
,,,,,,, -vo,1,S,1,1,,,,
,,,,,,, -vusu,1,S,2,2,,,,
,,,,,,," -vy, -ngy",2,S,1,1,,,,
,,,,,,, -'i,1,S,1,1,,,,
,,,,,,, -'o,1,S,1,1,,,,
,,,,,,," -'ỹ, -ỹre(he), -rehe'ỹ",4,S,1.5,3.8,,,,
Laki,Indo-European,lki,Belelli (2021: 459-465),V (60),none (59),<y> = /j/ (ix),,,,,,,,,
,,,,,,," -a, -ka",2,S,1,1.5,,,,
,,,,,,," -a, -e ",2,S,1,1,,,,
,,,,,,," -al, -el, -il, -l",4,S,0.75,1.75,,,,
,,,,,,, -ał,1,S,1,2,,,,
,,,,,,, -ā,1,S,1,1,,,,
,,,,,,, -ān,1,S,1,2,,,,
,,,,,,," -āt, -jāt",2,S,1,2.5,,,,
,,,,,,,"b-, bi-",2,P,0.5,1.5,,,,
,,,,,,, -ča ,1,S,1,2,,,,
,,,,,,," -e, -ī, -īk",3,S,1,1.3,,,,
,,,,,,," -e, -et, -ī, -īt, -y, -yt",6,S,0.67,1.5,,,,
,,,,,,," -h, -hā",2,S,0.5,1.5,,,,
,,,,,,," -im, -am, -m",3,S,0.67,1.67,,,,
,,,,,,," -im, -om",2,S,1,2,,,,
,,,,,,," -imīn, -omīn",2,S,2,4,,,,
,,,,,,," -in, -an, -n",3,S,0.67,1.67,,,,
,,,,,,," -in, -n",2,S,0.5,1.5,,,,
,,,,,,, -in,1,S,1,2,,,,
,,,,,,, -in,1,S,1,2,,,,
,,,,,,, -ir,1,S,1,2,,,,
,,,,,,," -ī, -īt, -t, -y, -yt",5,S,0.4,1.4,,,,
,,,,,,, -ī,1,S,1,1,,,,
,,,,,,, -ī,1,S,1,1,,,,
,,,,,,," -īmin, -īm, -ym, -ymin, -min",5,S,1,3,,,,
,,,,,,," -īn, -yn",2,S,0.5,2,,,,
,,,,,,," -ītin, -ytin, -tin",3,S,1.3,3.67,,,,
,,,,,,,"ma-, m-",2,P,0.5,1.5,,,,
,,,,,,,ma- ,1,P,1,2,,,,
,,,,,,," -n, -in",2,S,0.5,1.5,,,,
,,,,,,,"na-, n-",2,P,0.5,1.5,,,,
,,,,,,,ni-,1,P,1,2,,,,
,,,,,,," -tir, -tirik",2,S,1.5,4,,,,
,,,,,,," -tirīn, -tarīn",2,S,2,5,,,,
Lezgian,Nakh-Daghestanian,lez,Haspelmath (1993: 557-559),V (46),none (31-32),"Cw = labialized C (30); capital vowel letters for VH: A = /a, e/, U = /e, i, y/ (56)",,,,,,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -A,2,S,1,1,,,,
,,,,,,, -A,2,S,1,1,,,,
,,,,,,, -A,2,S,1,1,,,,
,,,,,,, -Aba,2,S,2,3,,,,
,,,,,,,Ac-,2,P,1,2,,,,
,,,,,,, -Adi,2,S,2,3,,,,
,,,,,,,Ag-,2,P,1,2,,,,
,,,,,,,AgAl-,2,P,2,4,,,,
,,,,,,, -aj,1,S,1,2,,,,
,,,,,,, -aj,1,S,1,2,,,,
,,,,,,, -aj,1,S,1,2,,,,
,,,,,,,Ak-,2,P,1,2,,,,
,,,,,,,Al-,2,P,1,2,,,,
,,,,,,, -Aldi,2,S,2,4,,,,
,,,,,,, -an,1,S,1,2,,,,
,,,,,,,Aq̃-,2,P,1,2,,,,
,,,,,,,Aq'Al-,2,P,2,4,,,,
,,,,,,, -ar,1,S,1,2,,,,
,,,,,,, -ar,1,S,1,2,,,,
,,,,,,, -Ar,2,S,1,2,,,,
,,,,,,, -Arar,2,S,2,4,,,,
,,,,,,,Aw-,2,P,1,2,,,,
,,,,,,, -äj,1,S,1,2,,,,
,,,,,,, -ba-,1,O,1,2,,,,
,,,,,,, -ban,1,S,1,3,,,,
,,,,,,,bej-,1,P,1,3,,,,
,,,,,,, -bur,1,S,1,3,,,,
,,,,,,," -cí, -c'i",2,S,1,2,,,,
,,,,,,, -čí,1,S,1,2,,,,
,,,,,,," -čí, -č'í",2,S,1,2,,,,
,,,,,,, -da,1,S,1,2,,,,
,,,,,,, -da,1,S,1,2,,,,
,,,,,,, -da,1,S,1,2,,,,
,,,,,,, -dakaz,1,S,2,5,,,,
,,,,,,, -daldi,1,S,2,5,,,,
,,,,,,, -di,1,S,1,2,,,,
,,,,,,, -di,1,S,1,2,,,,
,,,,,,, -di,1,S,1,2,,,,
,,,,,,, -di,1,S,1,2,,,,
,,,,,,, -di,1,S,1,2,,,,
,,,,,,, -diz,1,S,1,3,,,,
,,,,,,, -er,1,S,1,2,,,,
,,,,,,, -er,1,S,1,2,,,,
,,,,,,,gAl-,2,P,1,3,,,,
,,,,,,, -gan,1,S,1,3,,,,
,,,,,,,gw-,1,P,0,1,,,,
,,,,,,,h-,1,P,0,1,,,,
,,,,,,,hAl-,2,P,1,3,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -ijar,1,S,2,4,,,,
,,,,,,, -in,1,S,2,2,,,,
,,,,,,, -ini,1,S,2,3,,,,
,,,,,,, -ir,1,S,1,2,,,,
,,,,,,, -iz,1,S,1,2,,,,
,,,,,,, -j,1,S,0,1,,,,
,,,,,,, -j,1,S,0,1,,,,
,,,,,,, -j,1,S,0,1,,,,
,,,,,,, -ja,1,S,1,2,,,,
,,,,,,, -jar,1,S,1,3,,,,
,,,,,,, -ji,1,S,1,2,,,,
,,,,,,, -k,1,S,0,1,,,,
,,,,,, , -kaj,1,S,1,3,,,,
,,,,,,,kAk-,2,P,1,3,,,,
,,,,,,, -kdi,1,S,1,3,,,,
,,,,,,,kw-,1,P,0,1,,,,
,,,,,,, -k'a,1,S,1,2,,,,
,,,,,,, -l,1,S,0,1,,,,
,,,,,,, -la,1,S,1,2,,,,
,,,,,,, -la,1,S,1,2,,,,
,,,,,,, -laj,1,S,1,3,,,,
,,,,,,, -lamiš,1,S,2,2,,,,
,,,,,,, -lAr,2,S,1,3,,,,
,,,,,,, -lda,1,S,1,3,,,,
,,,,,,, -ldi,1,S,1,3,,,,
,,,,,,, -lu,1,S,1,2,,,,
,,,,,,, -lux,1,S,1,3,,,,
,,,,,,, -mir,1,S,1,3,,,,
,,,,,,, -n ,1,S,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,, -n(a)ma,2,S,1.5,3.5,,,,
,,,,,,, -n(a)maz(di),4,S,2,5.5,,,,
,,,,,,, -n(a)wa,2,S,1.5,3.5,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,,q̃Aq̃-,2,P,1,3,,,,
,,,,,,, -qʰ,1,S,0,1,,,,
,,,,,,, -qʰ(i),2,S,0.5,1.5,,,,
,,,,,,, -qʰaj,1,S,1,3,,,,
,,,,,,, -qʰan,1,S,1,3,,,,
,,,,,,, -qʰdi,1,S,1,3,,,,
,,,,,,, -r,1,S,0,1,,,,
,,,,,,, -r,1,S,0,1,,,,
,,,,,,, -r,1,S,0,1,,,,
,,,,,,, -ra,1,S,1,2,,,,
,,,,,,, -ra,1,S,1,2,,,,
,,,,,,, -rA,2,S,1,2,,,,
,,,,,,, -raj,1,S,1,3,,,,
,,,,,,, -rdawaj,1,S,2,6,,,,
,,,,,,, -ri,1,S,1,2,,,,
,,,,,,, -suz,1,S,1,3,,,,
,,,,,,,tA-,2,P,1,2,,,,
,,,,,,, -t'a,1,S,1,2,,,,
,,,,,,, -u,1,S,1,1,,,,
,,,,,,, -U,3,S,1,1,,,,
,,,,,,, -U,3,S,1,1,,,,
,,,,,,, -U,3,S,1,1,,,,
,,,,,,, -uj,1,S,1,2,,,,
,,,,,,, -un,1,S,1,2,,,,
,,,,,,, -Uni,3,S,2,3,,,,
,,,,,,, -ur,1,S,1,2,,,,
,,,,,,, -w,1,S,0,1,,,,
,,,,,,, -waj,1,S,1,3,,,,
,,,,,,, -wal,1,S,1,3,,,,
,,,,,,, -wal,1,S,1,3,,,,
,,,,,,, -waldi,1,S,2,5,,,,
,,,,,,, -wdi,1,S,1,3,,,,
,,,,,,, -wi,1,S,1,2,,,,
,,,,,,, -wiläj,1,S,2,5,,,,
,,,,,,, -x-,1,O,0,1,,,,
,,,,,,, -xana,1,S,2,4,,,,
,,,,,,,xk-,1,P,1,2,,,,
,,,,,,,x(U)-,4,P,0.75,1.75,,,,
,,,,,,, -z,1,S,0,1,,,,
,,,,,,, -z(a)ma,2,S,1.5,3.5,,,,
,,,,,,, -z(a)maz,2,S,1.5,4.5,,,,
,,,,,,, -z(a)wa,2,S,1.5,3.5,,,,
,,,,,,, -ží,1,S,1,2,,,,